timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727095678532,33942,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095678532,4467,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095678532,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095679538,33950,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095679538,4154,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095679538,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095680538,34089,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095680538,10958,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095680538,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095681554,34039,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095681554,7176,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095681554,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095682560,34051,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095682560,3463,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095682560,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095683575,34029,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095683575,3766,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095683575,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095684585,34062,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095684585,3979,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095684585,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095685586,34045,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095685586,4893,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095685586,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095686596,34078,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095686596,4236,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095686596,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095687605,34092,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095687605,2710,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095687605,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095688616,34088,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095688616,3901,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095688616,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095689630,34129,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095689630,6391,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095689630,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095690637,34110,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095690637,2592,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095690637,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095691638,34120,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095691638,4383,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095691638,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095692647,34158,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095692647,5096,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095692647,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095693662,34137,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095693662,4241,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095693662,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095694671,34155,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095694671,6250,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095694671,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095695682,34218,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095695682,10003,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095695682,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095696695,34303,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095696695,11158,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095696695,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095697702,34410,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095697702,18367,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095697702,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095698708,34424,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095698708,7563,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095698708,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095699717,34712,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095699717,21128,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095699717,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095700730,34733,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095700730,10016,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095700730,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095701744,34696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095701744,4332,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095701744,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095702756,34739,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095702756,4118,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
